observation_1,observation_2,hypothesis_1,hypothesis_2,label
I took a shovel to the woods and buried my brother's birthday present.,"He had so much fun, that now it's an annual tradition!",I made a big game hunt for him to hunt in.,My brother was surprised on the birthday.,2
Mimi was an old lady when I met her.,That's a little hard to believe since she is less than 5 feet tall!,Mimi told me that she used to play pool.,Mimi told me she used to be a star basketball player.,2
A man was looking to adopt a new cat.,He immediately adopted this cat.,He went to a store for pets and saw a cute cat.,The man saw a pretty cat that really liked him.,2
Rona was doing research into natural language processing.,"Rona found it delicious, with a dash of pepper and a pinch of salt.",She went into the research to document her findings.,Rona took a break from her research and made some Kraft macaroni and cheese.,2
Arnold was scared of rabbits.,Arnold nearly fainted.,A deer approached him.,Arnold's mother made rabbit soup for dinner.,2
Billy wanted to become a doctor.,"He was so depressed, he became an alcoholic.","Instead, he spent his life chasing women and doing drugs.",Billy dropped out of school.,2
My sister was in an open relationship.,My sister dumped him.,My sister cheated on her boyfriend anyways.,My sister dumped the person she was in an open relationship with.,2
My mom promised me that we would go to a restaurant on Friday.,She apologized for being dishonest to me in the past.,She said the same thing last week so I didn't believe her.,My mom and me had a long talk there about the present.,1
Rick was an older man with a large family.,He passed away while he was sleeping and had a smile on his face.,"Rick had lived a sad, boring life.",Rick's family visited him while he was ill.,2
Simon noticed a moving truck in front of the house next door.,He hung out with her all day.,Simon's friend Ann was moving away.,Simon's friend Ann was moving in with him.,1
The entire group of teens clambered into the raft.,They had such an amazing time on the river that day.,They were looking foward to going around the rapids.,they all spent rafting all day long and went home.,2
Sara worked very hard as a restaurant manager.,She was able to quit her management job.,she went to school at night and got a degree in computer programming.,Sara won nothing in the lottery.,1
Ada was emptying the trash one night.,Ada had to pick up all the trash from the floor.,the bag broke as Ada was walking out the door.,The trash bag ripped open from a hole in the top.,1
Steve was concerned because his bills were piling up.,Before long Steve was paying all his bills on time and was debt free.,Steve was paying too much money on late fees.,Steve decided to get a job paying minimum wage.,1
Bruce was scared of the dark.,Bruce was so grateful he kissed Jim full on the lips!,Bruce asked Jim to turn on the lights.,Jim found lighter and lit a few candles for him.,1
We were all getting tired after a long day at Magic Kingdom.,We figured we would be able to come back another day.,We decided to leave.,We stayed an extra 3 hours for fun.,1
The family prepared the food and packed it away.,The family had a good day.,The family saved it for the party the next day.,They then left for their picnic but left the food at home on accident.,1
Sally and Susan were looking forward to a night out.,They went back to their apartment and watched movies instead.,after two hours the club was empty almost with no people.,Sally had no money to go.,1
My teacher gave us instructions for the co-op assignment.,"However, my teacher gave me full credit while she received an F.",My partner did no work.,My friend and I didn't do the project together.,1
A couple was having a baby in two months.,The father agreed that it was a great name.,The mother suggested naming the baby after a poorly named close friend.,The mother suggested naming the baby Aaron.,2
Tom hiked a mountain.,Tom upset his wife.,He stayed on a hiking trip longer than he planned.,He got impatient with his dog during the hike.,1
Six year old Bobby wanted a cat very badly.,Bobby stopped liking cats after that day.,An alley cat scratched Bobby on the hand.,Bobby's friend scratched him.,1
Harold was making some coffee before work.,He discovered the milk had gone so bad that it was pouring out chunks.,He loved cream and sugar in his coffee.,Harold grabbed orange juice from the fridge.,1
Amy decided to try eyebrow waxing.,Amy was happy she tried it since it was quicker than plucking.,Amy did the waxing quickly.,Amy found that it didn't work for her.,1
"Lily lived in a disheveled, old apartment.",Lily finally said goodbye to the apartment on moving day!,Lily decided to move to an old apartment.,Lily found a new apartment and decided to move out.,2
Neil had been journeying through Asia.,He had always wanted to go surfing under the California sun.,Neil thought about traveling some more.,Neil decided he loved Asia so much that he stayed there.,1
Kelly was happy to have her new phone.,The store gave her a fair price to fix it.,Kelly cracked the phone on the screen.,Kelly cracked the screen on the phone.,2
Beth's brother Jake came to her house to check on a noise.,Jake slept on the couch to keep her safe.,Jake couldn't find the source of the noise so Beth remained afraid.,Jake was scared to go to sleep alone in the house.,1
Sam was in her 9th period class.,She ended up doodling until it was time to go.,Sam got very bored.,Sam was very excited.,1
Morgan wanted to hold a tea party.,Morgan is already planning her next great tea party.,Morgan's first political party was memorable!.,Morgan's first tea party was memorable!.,2
I found a $600 dollar envelope in the mail today.,I am dishonest.,I donated all of the money to charity.,I decided to keep it even if it wasn't mine.,2
Elizabeth bought four fish from the pet store.,Elizabeth had to give many of the fish away to new homes.,Elizabeth's fish tank was too fat.,Elizabeth noticed they had babies.,2
Tina's friend was making some guacamole.,Tina decided to make it herself.,Tina really messed it up.,Tina watched her friend. Her friend didn't even peel the avocados.,2
Greg loves girl scout cookies.,He is immediately regretful.,Greg eats too few girl scout cookies.,Greg tried a new flavor.,2
Glenn decided to try a new mexican restaurant.,Needless to say Glenn was satisfied with his new experience.,It was cheap and very delicious.,The restaurant served lasagna.,1
Johnny had a confession for a priest.,The priest told Johnny women make sinners of us all.,Johnny told the priest about a dog.,Johnny told the priest he cheated on his wife.,2
Alec works at the renaissance fair.,They had to make it seem like part of the act.,Alec jumped up in front of everyone.,Alec's phone started ringing during a performance.,2
Matt wanted to go back in time.,He never succeeded because time travel is probably impossible.,matt had a drug problem but decided to try to build a time machine.,He built a time machine and went back to 1800.,1
In 2005 I took my first roller coaster ride in thirty years.,It was a great ride and I am no longer afraid of roller coasters.,"Since it had been so soon, I was a little afraid.",I thought it would be too scary and loud.,2
Today we went on a plane ride.,I am no longer afraid of planes.,We took a return flight back home and there was no turbulence.,I love planes. But we took off and wrecked.,1
